---
title: "Supported Spreadsheet Artifact Sub-types"
artifactType: spreadsheet
artifactSubtype: "Artifact Subtypes"
---
"Subtype","Description"
"Product Features","User stories or product features"
"Search Results","Search Results"
"Evaluation Criteria","Criteria for evaluating a scientific paper"
"Literature Review","Scientific papers"
"Procedure","Step-by-step instructions for operational processes"
"Template","Blank templates (only headers and front-matter)"
"General","Other kinds of spreadsheets"
